Komoditas,Rata-rata,Median,Min,Max,Std Dev,Jumlah Data,Volatilitas (%)
Daging Sapi,143532.0,148350.0,66000.0,180000.0,12604.0,23465,8.78
Cabai Rawit,41730.0,40000.0,8250.0,200000.0,16108.0,23978,38.6
Cabai Merah,40689.0,36500.0,8000.0,197500.0,18675.0,23785,45.9
Bawang Merah,34874.0,33750.0,12000.0,126250.0,10427.0,22164,29.9
Bawang Putih,33283.0,33500.0,14500.0,60000.0,8457.0,19393,25.41
Telur Ayam,27984.0,27750.0,17400.0,60200.0,4672.0,28587,16.7
Daging Ayam,27001.0,27000.0,14000.0,52500.0,6016.0,21178,22.28
Minyak Goreng,19394.0,19500.0,10350.0,40750.0,3610.0,44958,18.61
Gula Pasir,16723.0,17000.0,12150.0,58500.0,2236.0,35748,13.37
Beras,12876.0,13100.0,8600.0,17850.0,2072.0,86204,16.09
